video_id,url,detected_drug,matched_surface_term,drug_confidence,auto_label,auto_label_text,auto_label_confidence,llm_label,llm_label_text,llm_confidence,llm_status,model_label,rule_label,active_learning_priority,oav_triple_count,ontology_mapping_count,behavior_cv_summary,education_top_action,education_category,education_score,validation_status,pending_review_count,completeness_score
6983892165587946754,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
6985273900464622854,https://www.tiktokv.com/share/video/6985273900464622854/,,,,2,Misuse-related evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
6985593542320131334,,,,,3,High-risk / explicit review,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
6987051807554014469,https://www.tiktokv.com/share/video/6987051807554014469/,Codeine,lean,0.82,2,Misuse-related evidence,,,,,not_run_for_this_video,,,,5,0,,,,,needs_human_validation,6,0.778
6989491110011817221,https://www.tiktokv.com/share/video/6989491110011817221/,,,,2,Misuse-related evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
6990766085314219269,https://www.tiktokv.com/share/video/6990766085314219269/,,,,2,Misuse-related evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
6993844259677883653,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
6999672168044825861,https://www.tiktokv.com/share/video/6999672168044825861/,,,,2,Misuse-related evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7006404562781359365,https://www.tiktokv.com/share/video/7006404562781359365/,,,,2,Misuse-related evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7010052272667282693,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7010121683033918725,https://www.tiktokv.com/share/video/7010121683033918725/,,,,2,Misuse-related evidence,,,,,not_run_for_this_video,,,,0,0,source: manual_behavior_annotation; file_name: https://ksuemailprod.sharepoint.com/sites/SPAR-KG/_layouts/15/stream.aspx?id=%2Fsites%2FSPAR%2DKG%2FShared%20Documents%2FKDD%20devel…,,,,no_current_flag,0,0.667
7013112428368071941,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7017805850660113669,https://www.tiktokv.com/share/video/7017805850660113669/,rc,rc,0.46,2,Misuse-related evidence,,,,,not_run_for_this_video,,,,5,0,,,,,needs_human_validation,6,0.778
7024999222365801733,https://www.tiktokv.com/share/video/7024999222365801733/,,,,2,Misuse-related evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7025008866945436933,https://www.tiktokv.com/share/video/7025008866945436933/,PCP (Phencyclidine),Rocket Fuel,0.88,2,Misuse-related evidence,,,,,not_run_for_this_video,,,,5,0,,,,,needs_human_validation,4,0.778
7025810453850869019,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7026510501681155375,https://www.tiktokv.com/share/video/7026510501681155375/,,,,2,Misuse-related evidence,,,,,not_run_for_this_video,,,,1,0,"source: manual_behavior_annotation; file_name: tiktok_tahtianasherdenn_7026510501681155375.mp4; description: NA - This video contains drug language, but no human behaviors related…",,,,no_current_flag,0,0.778
7028344714638232834,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7033047525699357958,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7035253800759725313,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7046780743770557743,https://www.tiktokv.com/share/video/7046780743770557743/,,,,2,Misuse-related evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7050237796229025071,,,,,1,Weak / ambiguous drug reference,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7052744099207580933,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7054400892468170030,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7054591842364460293,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7055376262545657093,https://www.tiktokv.com/share/video/7055376262545657093/,,,,2,Misuse-related evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7061028453449190702,https://www.tiktokv.com/share/video/7061028453449190702/,,,,2,Misuse-related evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7062144228104604974,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7065139095919512858,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7072568178198547754,https://www.tiktokv.com/share/video/7072568178198547754/,,,,2,Misuse-related evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7073591143686098219,https://www.tiktokv.com/share/video/7073591143686098219/,,,,2,Misuse-related evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7073819756624612613,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7075583170103545090,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7078505574127684910,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7080653491147902214,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7085126938574048554,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7091778027192929541,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7092868451399748907,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7092900497882893611,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7093102548390874410,,,,,1,Weak / ambiguous drug reference,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7098499626084355370,https://www.tiktokv.com/share/video/7098499626084355370/,Cannabis (THC),za,0.82,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,3,0,,,,,needs_human_validation,4,0.778
7098519977644379435,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7100561748293422378,https://www.tiktokv.com/share/video/7100561748293422378/,,,,3,High-risk / explicit review,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7105109947456736558,https://www.tiktokv.com/share/video/7105109947456736558/,,,,2,Misuse-related evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7115545955553905963,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7119029271208758533,https://www.tiktokv.com/share/video/7119029271208758533/,,,,2,Misuse-related evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7119968827277888794,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7122800527506705707,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7122954736814378245,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7125733364878937346,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7129226944910036270,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7132431515681836334,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7136779278481427754,https://www.tiktokv.com/share/video/7136779278481427754/,,,,2,Misuse-related evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7138098874257820974,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7138553361292365099,,Alprazolam (Xanax®),Xanax,0.88,1,Weak / ambiguous drug reference,,,,,not_run_for_this_video,,,,13,0,,,,,needs_human_validation,10,0.778
7139808262052023598,https://www.tiktokv.com/share/video/7139808262052023598/,Methamphetamine,Methamphetamine,0.88,3,High-risk / explicit review,,,,,not_run_for_this_video,,,,20,0,,,,,needs_human_validation,22,0.778
7140714549145029889,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7140759797065993518,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7146279759235026222,https://www.tiktokv.com/share/video/7146279759235026222/,,,,2,Misuse-related evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7147414376390184198,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7149386452235849003,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7150683297939606830,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7151282642418175278,https://www.tiktokv.com/share/video/7151282642418175278/,,,,2,Misuse-related evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7151529758172581166,,,,,1,Weak / ambiguous drug reference,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7151736615369444650,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7156038148722658606,,Fentanyl,Fentanyl,0.88,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,15,0,,,,,needs_human_validation,12,0.778
7158184809880096042,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7159573183446666539,https://www.tiktokv.com/share/video/7159573183446666539/,,,,2,Misuse-related evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7161408706981268779,,Metonitazene,Synthetic Opioid,0.88,1,Weak / ambiguous drug reference,,,,,not_run_for_this_video,,,,35,0,,,,,needs_human_validation,28,0.778
7166307428894608682,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7167516701196635434,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7168899684054928682,,,,,0,No clear misuse evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
7170812031753440558,https://www.tiktokv.com/share/video/7170812031753440558/,,,,2,Misuse-related evidence,,,,,not_run_for_this_video,,,,0,0,,,,,no_current_flag,0,0.556
